,通道_00,通道_01,通道_02,通道_03,通道_04,通道_10,通道_11,通道_12,通道_13,通道_14,通道_20,通道_21,通道_22,通道_23,通道_24,通道_30,通道_31,通道_32,通道_33,通道_34,通道_40,通道_41,通道_42,通道_43,通道_44
第 1 分钟内,0.0,1925.869641240155,1832.9853589336853,4611.825055644949,15088.577511729192,712.8104092389476,910.841581312272,1139.0010962628094,3362.698254020899,7038.825412208404,520.4815003456833,499.94355213733616,575.044053613321,1187.9315313438183,4864.229278693263,250.16667658860933,473.8011669170637,697.7284050838207,928.4222638437277,1806.778859942413,338.77316803404756,483.5099912016185,325.1036061863824,345.98998286213646,652.9676876517933
第 2 分钟内,0.0,241.22155051842856,1000.5893832476504,1237.8520491883755,6595.251380254704,66.37260373272875,380.44576588801465,686.3068783565377,1229.5609780505256,2765.11812517207,92.07105121992026,160.2862300859415,188.96189596199656,325.6213199245485,696.4506419423415,85.36048658379241,238.80654511054308,164.43077656873902,376.49146532293344,548.7498637458193,94.07678703930378,213.93779556394747,141.1798087504285,137.28931696389463,126.58666458430343
第 3 分钟内,0.0,600.9030791024015,107.6914262393293,1044.15939022151,4115.926973961759,151.5767024467532,380.6235608841307,233.28531797208234,546.1874579106261,1453.5103628081124,79.43902729153524,91.24994013604737,173.95867181531503,352.8280814507889,344.0939137746791,61.18197984676772,56.83339440397867,93.88509054831047,141.2469453000249,534.1245201777565,57.650199817268,118.33878478732095,0.0,125.41574929239141,173.57284031236486
第 4 分钟内,1197.240237647733,863.1406526735518,575.6421659543776,1565.4782583666602,1793.7383854367654,127.14876206373083,57.1491234004061,0.0,514.6754021613742,673.752332074946,29.703836068450073,60.03288568275093,128.99256389051516,129.37168939405092,160.8018257523181,11.197421704999215,62.343021024776135,65.56670978751754,232.3957383496272,336.52562679971743,43.20808768819734,81.0791580772684,31.679416996834334,56.509140799271336,99.74282187527024
第 5 分钟内,252.43643673399856,451.6335840717438,1134.3732775064818,128.9907190701997,570.6208678560215,145.02368792136258,162.69089802211238,126.58492228304385,700.1689140061862,0.0,63.99055490559749,168.81276027943477,119.47890686574647,92.71795598298377,46.50249864023135,32.692420999253045,66.12192835819133,84.42218412333841,40.8235800095772,39.645786692963156,56.11320464735854,53.57993673833698,72.21647278597266,35.69681074638811,147.09949438617514
第 6 分钟内,109.63703288714896,311.97288745857077,321.28331409617385,347.3485441073499,2051.8830194266484,145.9699577118572,90.0487292552134,68.00667728673943,48.02198059635339,411.3293730168516,55.19373785292555,27.978009715588087,39.4873628348214,129.4489536886631,257.15889688531024,8.616009696248511,54.065968268276265,0.0,0.0,133.26476141109742,33.93512805724549,69.99104359028115,40.155944313017244,68.22573035339792,83.06742785297683
第 7 分钟内,464.7288266831347,174.12650823084186,334.33003343914606,1212.518497076624,645.6113979602378,122.87996651811409,144.93248433891495,111.9087384425402,442.4669980556355,996.7649459879831,24.434794939557833,0.0,57.26357774627286,105.60960943359896,48.04126095068932,54.107980996027436,0.0,51.151157622437495,162.9025137967492,123.42214984595557,9.150901839053404,20.532363119541515,33.01361178005027,51.45579143366831,71.86503808520865
第 8 分钟内,166.13715606982805,614.7035158292638,24.94977128683604,0.0,1193.7716335871082,85.46627963776518,81.8920081250144,238.07918300808888,329.2150322345624,300.82142538719927,31.96831520163323,0.0,82.1863968519574,67.21216189576808,354.08179680146714,30.482667878157372,18.357383706251312,46.89161216499906,79.67087648664528,289.1813171797512,29.832866693033793,15.113667682062442,17.970544947811504,37.56873498130062,27.79990731550606
第 9 分钟内,0.0,289.086393088317,0.0,478.994668128551,0.0,9.837284907189314,120.39929458046754,65.18405898415222,118.4660897439644,0.0,25.52168907158375,61.2826015192386,1.3312948217862868,137.02807098576523,67.22870103043897,8.522004927994203,0.0,0.0,21.21215508928799,117.6037976519001,13.04770328770519,12.037309177779207,13.61627134715036,18.576093777905044,0.0
第 10 分钟内,618.0587176051158,213.44279238597665,243.010344665905,0.0,0.0,91.05647658138878,119.3487673967793,48.42157606153705,143.75404157212324,30.937541544888518,19.804377507339268,63.72565576702982,19.138595716829514,73.03077748131909,0.0,2.2312604695907794,65.80406181143735,79.92720065305639,76.32651497960069,94.82154940291002,18.229802180502702,1.6981599019591158,10.702681928415586,31.25853700031621,26.875628814073934
第 11 分钟内,130.3208560947205,171.46719088436657,174.1750235071122,219.00359048632163,1231.7447001007822,79.9769892485092,152.60723993579631,81.7259261331601,0.0,765.9340111233032,13.490953413380339,47.6233651521361,41.41272504213521,7.111831726821038,153.74871062397506,5.990766658361281,7.5202608841218535,43.53885589922993,15.0556991443882,227.08236996504274,9.359844539512778,7.321806652706073,22.671949029667303,16.663586912939536,64.8697704471706
第 12 分钟内,0.0,0.0,137.32132823099528,0.0,0.0,3.9748179621601594,47.28903223168709,38.51211318226706,11.673905949486652,144.15685113734799,18.451958633097092,91.0369601564962,87.26518592087814,50.7966824403411,185.5008167593769,10.20509494077396,5.209591656989687,14.37457291415376,39.3937489740274,169.63206042727325,3.6092847227291713,22.97916760363296,7.173227098347525,15.97502880535194,51.855807985359206
第 13 分钟内,0.0,495.1636548116876,114.90836297093847,570.521283570084,4462.840572096713,0.0,49.600346034210816,77.36019906288493,397.1961843243953,316.6047934996459,7.5165633937685925,22.019015547295567,0.0,30.926143509979738,622.2784720876771,10.68403503709851,4.2388901769509175,0.0,94.52698576417424,5.842450272561109,8.844123586151,13.44132980132963,39.49234087703462,32.84055244985939,82.8054266729614
第 14 分钟内,0.0,507.8630923464916,61.908065324270865,89.78230300944415,15.482796779004275,21.871805120690624,36.77050005525416,4.089707392451601,0.0,155.63479534616636,25.561806811424503,28.92782624083975,46.29959667379262,26.550558319531774,108.80987654073397,14.62641479958802,39.281362734727736,16.71877912013315,16.488617059991157,0.0,16.308299918471675,21.956016784576605,0.0,1.7550811790279113,14.279934215301182
第 15 分钟内,582.4827283821651,0.0,0.0,178.94736361815012,0.0,47.87601886994162,78.88237354082048,26.94254396233191,0.7325892854460108,0.0,11.822462957448806,22.293048821600678,31.744813686420457,0.0,213.44358039564395,0.0,8.044794335756706,42.13950619103525,55.16806642604206,0.0,21.94460229844117,14.263868297933186,3.1463741685138302,0.0,0.0
第 16 分钟内,446.4590154188445,8.415556703839684,26.201883914451173,204.5795248812974,0.0,34.505466759384944,0.0,2.121470687439796,368.1030584798209,0.0,14.606622799252364,0.0,0.0,28.410941444091804,356.62122234697017,12.62160713332014,1.0264161939112455,26.551162713786653,66.58095310379576,296.24100027403983,8.754594281894242,29.449804703165682,25.864269614953628,29.15154917104337,7.726671136595542
第 17 分钟内,0.0,0.0,0.0,261.93659251577265,1133.3667804734723,30.17813970045063,13.300817344057577,0.0,345.0849396940939,359.0571209331465,13.02893615776702,72.84889576729347,55.820468662688654,15.324129778466158,24.140798572469066,11.150745621893293,13.896192861929194,7.902489015660649,0.0,151.58092968154597,12.35296304349231,1.6324489726039246,0.0,12.674560246168767,4.479088385109208
第 18 分钟内,5.274709479388548,0.0,227.73715220840677,0.0,0.0,35.44589642758547,25.783071938762077,71.7121690697968,132.29564068589752,326.4911791546547,8.61892203777279,24.74372019479779,36.91275154425239,12.997647950942337,93.3488373727705,0.21841809392481082,3.550439899388948,24.22676305355435,12.002795892833092,21.708893671540864,1.7981657514928884,13.228999276239847,34.13873621460334,4.853392620937484,61.56789942857358
第 19 分钟内,763.3420174330167,0.0,10.953772195327474,163.05957265232064,856.9646715096314,0.0,0.0,57.5692255773065,96.20418138553578,127.15934705896507,17.340442656333835,8.807743953009776,30.157220438974036,159.18905581227045,329.3184715814059,4.213514792710157,7.109033250407265,21.789737926710586,39.73923384471709,29.32170262319778,2.5625409498743466,0.0,6.832216648530448,10.542541694112515,30.58794447123546
第 20 分钟内,567.0487542420196,159.19476965565627,0.0,106.02590594632784,0.0,46.24100487151554,68.75817512781396,28.06587203669551,0.0,71.21488619938464,25.920351996681347,4.440233924690801,0.0,0.0,0.0,2.1876623750786166,21.268378024878075,16.92192336655262,102.12107492630457,0.0,1.5477432195248184,3.966022303055979,19.940541736267733,8.002901085500525,0.0
